gene,n_significant_variants,median_odds_ratio,median_mdr_freq,median_susc_freq,n_enriched_MDR,is_compensatory,is_primary_DR
intergenic,2356,0.0965,0.002296,0.024316,773,0,0
fas,491,0.0442,0.001148,0.026342,3,0,0
gltB,315,0.0394,0.001148,0.026342,1,0,0
pks13,291,0.0461,0.001148,0.025329,2,0,0
eccC5,288,0.04715,0.001148,0.024316,5,0,0
pks12,271,0.0482,0.001148,0.023303,27,0,0
rpoC,267,0.071,0.002296,0.031408,9,1,0
dnaE1,260,0.0409,0.001148,0.027356,3,0,0
Rv1248c,257,0.0461,0.001148,0.027356,6,0,0
gyrA,244,0.038,0.001148,0.028369,11,0,1
rpoB,237,0.0645,0.002296,0.030395,8,0,1
carB,214,0.0493,0.001148,0.027356,1,0,0
alaS,199,0.0409,0.001148,0.025329,0,0,0
eccC3,199,0.0394,0.001148,0.025329,3,0,0
gcvB,194,0.0387,0.001148,0.027356,1,0,0
gdh,194,0.0394,0.001148,0.025329,1,0,0
uvrA,192,0.0461,0.001148,0.026342,0,0,0
aceE,188,0.04335,0.001148,0.028369,0,0,0
clpC1,187,0.0425,0.001148,0.031408,4,0,0
Rv3193c,185,0.0409,0.001148,0.026342,1,0,0
ileS,185,0.0322,0.001148,0.026342,3,0,0
eccC2,183,0.0529,0.001148,0.02229,7,0,0
embC,183,0.0394,0.001148,0.025329,4,0,1
narG,180,0.04515,0.001148,0.024316,3,0,0
lhr,178,0.0442,0.001148,0.025329,7,0,0
secA2,174,0.038,0.001148,0.026342,3,0,0
mfd,174,0.0409,0.001148,0.025329,3,0,0
Rv2752c,173,0.038,0.001148,0.025329,3,0,0
secA1,172,0.0409,0.001148,0.028369,1,0,0
cobN,172,0.0722,0.002296,0.025329,1,0,0
clpB,169,0.0394,0.001148,0.028369,0,0,0
nrdE,169,0.0626,0.002296,0.029382,1,0,0
dnaE2,166,0.04515,0.001148,0.025329,5,0,0
acn,165,0.0556,0.001148,0.026342,0,0,0
rrl,165,1.807,0.032147,0.02229,87,0,0
dnaK,164,0.0461,0.001148,0.030395,3,0,0
embB,163,0.0409,0.001148,0.024316,8,0,1
fusA1,160,0.0665,0.002296,0.029382,0,0,0
Rv2531c,159,0.0461,0.001148,0.024316,1,0,0
valS,159,0.0409,0.001148,0.027356,1,0,0
relA,158,0.0482,0.001148,0.027356,1,0,0
fbiC,157,0.0482,0.001148,0.026342,0,0,0
gpsI,155,0.0409,0.001148,0.027356,0,0,0
Rv2477c,155,0.0425,0.001148,0.027356,2,0,0
smc,154,0.0394,0.001148,0.026342,3,0,0
topA,154,0.0442,0.001148,0.026342,2,0,0
infB,152,0.0626,0.002296,0.029382,3,0,0
mutB,149,0.0425,0.001148,0.027356,0,0,0
Rv2402,149,0.0409,0.001148,0.027356,1,0,0
uvrC,148,0.04335,0.001148,0.025329,1,0,0
ftsH,147,0.0409,0.001148,0.027356,4,0,0
fadE5,146,0.0626,0.002296,0.027356,2,0,0
ponA2,145,0.0425,0.001148,0.026342,0,0,0
polA,145,0.0425,0.001148,0.026342,6,0,0
aftD,145,0.0442,0.001148,0.023303,7,0,0
uvrB,144,0.0655,0.002296,0.028369,0,0,0
ppk1,143,0.0425,0.001148,0.024316,0,0,0
ercc3,143,0.0442,0.001148,0.026342,2,0,0
Rv0338c,140,0.0442,0.001148,0.026342,4,0,0
Rv1683,139,0.0409,0.001148,0.024316,0,0,0
Rv3401,139,0.0482,0.001148,0.024316,1,0,0
lpqB,139,0.0367,0.001148,0.025329,0,0,0
purL,136,0.0409,0.001148,0.026342,2,0,0
glcB,135,0.0343,0.001148,0.026342,1,0,0
glnE,134,0.04015,0.001148,0.024316,1,0,0
Rv0959,134,0.0,0.0,0.025329,4,0,0
treS,133,0.0409,0.001148,0.026342,1,0,0
icd2,133,0.0409,0.001148,0.026342,2,0,0
Rv2455c,132,0.04715,0.001148,0.023303,2,0,0
leuS,132,0.0,0.0,0.026342,1,0,0
nirB,130,0.0409,0.001148,0.025329,2,0,0
fadD32,130,0.0409,0.001148,0.025329,1,0,0
glpD2,130,0.0394,0.001148,0.026342,0,0,0
lepA,129,0.0354,0.001148,0.029382,0,0,0
pckA,127,0.0482,0.001148,0.028369,3,0,0
dxs1,126,0.0409,0.001148,0.025329,0,0,0
rne,125,0.0394,0.001148,0.028369,2,0,0
glnA1,125,0.0442,0.001148,0.027356,0,0,0
aroG,125,0.0394,0.001148,0.026342,1,0,0
pknG,124,0.0442,0.001148,0.024316,1,0,0
ctpI,124,0.0409,0.001148,0.023303,7,0,0
accA3,123,0.0409,0.001148,0.028369,0,0,0
ctpC,122,0.0425,0.001148,0.025329,0,0,0
fadB,121,0.038,0.001148,0.026342,0,0,0
purF,121,0.0442,0.001148,0.024316,3,0,0
glnA2,120,0.0425,0.001148,0.027356,1,0,0
ctaD,120,0.0409,0.001148,0.031408,0,0,0
leuA,119,0.0626,0.002296,0.027356,1,0,0
atsA,119,0.0461,0.001148,0.025329,0,0,0
glmS,119,0.0409,0.001148,0.027356,1,0,0
eno,119,0.0687,0.002296,0.026342,3,0,0
Rv0248c,118,0.0354,0.001148,0.027356,2,0,0
ilvB1,117,0.0394,0.001148,0.027356,0,0,0
Rv0197,117,0.0461,0.001148,0.024316,7,0,0
tkt,116,0.0409,0.001148,0.026342,2,0,0
lysX,116,0.038,0.001148,0.025329,5,0,0
treX,116,0.0354,0.001148,0.027356,1,0,0
embA,116,0.0,0.0,0.024316,6,0,1
adhB,115,0.0442,0.001148,0.026342,0,0,0
ask,115,0.0394,0.001148,0.026342,2,0,0
fadD8,115,0.0556,0.001148,0.025329,0,0,0
uvrD1,115,0.0394,0.001148,0.026342,1,0,0
aspS,114,0.0461,0.001148,0.025329,1,0,0
Rv1697,114,0.038,0.001148,0.025329,0,0,0
rpoA,114,0.0626,0.002296,0.031408,1,1,0
asnB,113,0.0482,0.001148,0.027356,0,0,0
pgi,113,0.0482,0.001148,0.026342,1,0,0
sucC,113,0.0482,0.001148,0.027356,0,0,0
ilvD,112,0.0482,0.001148,0.026342,1,0,0
pks16,111,0.0461,0.001148,0.026342,1,0,0
fusA2,110,0.0394,0.001148,0.024316,4,0,0
Rv1473,109,0.0394,0.001148,0.026342,1,0,0
typA,109,0.0367,0.001148,0.027356,1,0,0
htpG,108,0.0442,0.001148,0.0248225,2,0,0
secY,108,0.04335,0.001148,0.025329,2,0,0
ftsK,108,0.0626,0.002296,0.027356,4,0,0
inhA,108,0.038,0.001148,0.027356,6,0,1
pafA,108,0.04515,0.001148,0.028369,2,0,0
ribA2,107,0.0442,0.001148,0.026342,1,0,0
accD5,107,0.0442,0.001148,0.029382,0,0,0
thrS,106,0.038,0.001148,0.027356,0,0,0
mtrB,106,0.0394,0.001148,0.026342,2,0,0
eccA3,106,0.0409,0.001148,0.024316,2,0,0
Rv1286,106,0.0461,0.001148,0.0258355,1,0,0
helY,106,0.0442,0.001148,0.024316,2,0,0
hflX,105,0.0394,0.001148,0.026342,1,0,0
hsaA,105,0.0394,0.001148,0.026342,1,0,0
accD6,105,0.0626,0.002296,0.027356,2,0,0
sdhA,105,0.0482,0.001148,0.029382,0,0,0
secD,105,0.0442,0.001148,0.024316,4,0,0
Rv0976c,104,0.0425,0.001148,0.025329,2,0,0
fadD19,104,0.0394,0.001148,0.026342,1,0,0
Rv0458,103,0.076,0.002296,0.026342,1,0,0
nuoD,103,0.0425,0.001148,0.025329,0,0,0
Rv3197,103,0.0442,0.001148,0.026342,0,0,0
Rv0223c,103,0.0409,0.001148,0.026342,1,0,0
accD4,103,0.0482,0.001148,0.026342,4,0,0
pykA,102,0.0409,0.001148,0.026342,0,0,0
icl1,101,0.0556,0.001148,0.029382,1,0,0
proS,101,0.0425,0.001148,0.025329,1,0,0
glfT2,101,0.0504,0.001148,0.026342,0,0,0
Rv3722c,101,0.0425,0.001148,0.025329,1,0,0
fadE30,100,0.0482,0.001148,0.025329,0,0,0
Rv0565c,100,0.0425,0.001148,0.024316,2,0,0
lpdC,100,0.0354,0.001148,0.027356,1,0,0
Rv0465c,99,0.0461,0.001148,0.026342,5,0,0
Rv0435c,99,0.0425,0.001148,0.023303,1,0,0
cysS1,99,0.038,0.001148,0.026342,1,0,0
sahH,99,0.0367,0.001148,0.028369,1,0,0
fadE6,99,0.0367,0.001148,0.024316,2,0,0
ffh,98,0.0409,0.001148,0.026342,3,0,0
dnaG,98,0.0409,0.001148,0.026342,1,0,0
argS,97,0.0442,0.001148,0.026342,4,0,0
glgE,97,0.0409,0.001148,0.025329,1,0,0
gatB,97,0.0394,0.001148,0.025329,1,0,0
guaB2,97,0.0504,0.001148,0.027356,3,0,0
qcrB,97,0.0425,0.001148,0.027356,0,0,0
fum,97,0.038,0.001148,0.026342,1,0,0
acs,96,0.0332,0.001148,0.024316,0,0,0
dnaA,96,0.03175,0.001148,0.027356,1,0,0
choD,96,0.0504,0.001148,0.026342,0,0,0
rho,96,0.0425,0.001148,0.027356,0,0,0
fadD5,96,0.0417,0.001148,0.0248225,4,0,0
cbs,96,0.04015,0.001148,0.026342,1,0,0
glgP,95,0.0,0.0,0.026342,1,0,0
glf,95,0.0461,0.001148,0.026342,1,0,0
groEL2,95,0.071,0.002296,0.030395,0,0,0
rocA,95,0.0425,0.001148,0.025329,1,0,0
fadE8,95,0.038,0.001148,0.027356,2,0,0
narH,95,0.0482,0.001148,0.024316,2,0,0
sthA,95,0.0442,0.001148,0.025329,1,0,0
fadA3,94,0.04715,0.001148,0.026342,1,0,0
Rv3359,94,0.0,0.0,0.024316,1,0,0
accD1,94,0.0442,0.001148,0.025329,1,0,0
mmsA,94,0.0409,0.001148,0.027356,1,0,0
purA,94,0.038,0.001148,0.027356,0,0,0
plsB2,93,0.0,0.0,0.024316,3,0,0
folC,93,0.0442,0.001148,0.024316,0,0,0
glgB,93,0.0367,0.001148,0.026342,3,0,0
fadE15,93,0.0442,0.001148,0.023303,0,0,0
amiA1,93,0.0394,0.001148,0.025329,1,0,0
aftB,93,0.0394,0.001148,0.023303,2,0,0
Rv2411c,92,0.0394,0.001148,0.026342,0,0,0
serA1,92,0.0425,0.001148,0.025329,1,0,0
aspC,92,0.06355,0.002296,0.026342,1,0,0
engA,92,0.0394,0.001148,0.026342,1,0,0
accD2,91,0.0442,0.001148,0.027356,4,0,0
glmU,91,0.0442,0.001148,0.025329,1,0,0
gadB,91,0.038,0.001148,0.026342,1,0,0
dlaT,91,0.0482,0.001148,0.026342,0,0,0
efpA,91,0.0442,0.001148,0.025329,0,0,0
atpA,91,0.0367,0.001148,0.026342,1,0,0
Rv0648,91,0.0461,0.001148,0.025329,2,0,0
zwf2,91,0.0482,0.001148,0.026342,0,0,0
citA,91,0.0425,0.001148,0.024316,2,0,0
nuoL,90,0.0425,0.001148,0.024316,1,0,0
ilvC,90,0.0354,0.001148,0.028369,0,0,0
gltA2,90,0.0442,0.001148,0.029382,0,0,0
pyrG,90,0.0417,0.001148,0.0278625,2,0,0
Rv1894c,90,0.04335,0.001148,0.027356,1,0,0
metS,90,0.0425,0.001148,0.0248225,4,0,0
Rv3910,90,0.0417,0.001148,0.023303,7,0,0
fadE12,89,0.0556,0.001148,0.024316,2,0,0
glgC,89,0.0482,0.001148,0.027356,1,0,0
PPE55,88,1.5,0.053961,0.043566,52,0,0
lpqW,88,0.0461,0.001148,0.024316,0,0,0
mscR,88,0.0425,0.001148,0.026342,2,0,0
mpa,87,0.0354,0.001148,0.029382,0,0,0
plsB1,87,0.0,0.0,0.024316,3,0,0
moxR2,87,0.0442,0.001148,0.025329,2,0,0
hemD,87,0.0409,0.001148,0.026342,0,0,0
gatA,87,0.0425,0.001148,0.026342,1,0,0
pepN,87,0.0442,0.001148,0.025329,1,0,0
fadA2,87,0.0461,0.001148,0.025329,0,0,0
moxR1,86,0.071,0.002296,0.028369,1,0,0
Rv1459c,86,0.0556,0.001148,0.024316,1,0,0
nuoG,86,0.0343,0.001148,0.026342,3,0,0
eccA5,86,0.04515,0.001148,0.024316,1,0,0
fadE23,86,0.0425,0.001148,0.025329,0,0,0
glyS,86,0.0387,0.001148,0.024316,1,0,0
recA,86,0.0394,0.001148,0.0278625,1,0,0
Rv3394c,86,0.04515,0.001148,0.024316,0,0,0
argG,86,0.05775,0.001722,0.026342,0,0,0
aroF,85,0.0425,0.001148,0.026342,0,0,0
Rv0647c,85,0.0461,0.001148,0.027356,1,0,0
Rv1422,85,0.076,0.002296,0.025329,0,0,0
