drug,resistant_samples,resistant_pct,resistant_in_MDR,resistant_pct_of_MDR,n_unique_mutations,top_gene
rifampicin,1006,54.2,871,100.0,29,rpoB
isoniazid,925,49.8,871,100.0,13,katG
ethambutol,781,42.1,757,86.9,11,embB
pyrazinamide,719,38.7,697,80.0,54,pncA
moxifloxacin,672,36.2,641,73.6,13,gyrA
levofloxacin,672,36.2,641,73.6,13,gyrA
bedaquiline,211,11.4,176,20.2,52,mmpR5
linezolid,8,0.4,8,0.9,3,rplC
delamanid,16,0.9,15,1.7,16,fbiC
pretomanid,16,0.9,15,1.7,16,fbiC
amikacin,352,19.0,330,37.9,4,rrs
kanamycin,358,19.3,336,38.6,5,rrs
capreomycin,384,20.7,356,40.9,7,rrs
streptomycin,525,28.3,477,54.8,22,rrs
ethionamide,598,32.2,574,65.9,23,inhA
prothionamide,598,32.2,574,65.9,23,inhA
clofazimine,209,11.3,176,20.2,50,mmpR5
cycloserine,0,0.0,0,0.0,0,N/A
para-aminosalicylic_acid,0,0.0,0,0.0,0,N/A
rifapentine,1006,54.2,871,100.0,29,rpoB
