model,fold,roc_auc,f1,precision,recall,accuracy
Logistic Regression,1,0.8921,0.841,0.7919,0.8966,0.8414
Logistic Regression,2,0.8831,0.8306,0.7958,0.8686,0.8333
Logistic Regression,3,0.901,0.8548,0.8168,0.8966,0.8571
Logistic Regression,4,0.8956,0.8268,0.8043,0.8506,0.8329
Logistic Regression,5,0.8958,0.8338,0.8177,0.8506,0.841
Random Forest,1,0.9051,0.8407,0.8053,0.8793,0.8441
Random Forest,2,0.8553,0.7945,0.7632,0.8286,0.7984
Random Forest,3,0.9068,0.8256,0.8353,0.8161,0.8383
Random Forest,4,0.8937,0.8114,0.8068,0.8161,0.8221
Random Forest,5,0.8884,0.8169,0.8011,0.8333,0.8248
XGBoost,1,0.8956,0.8525,0.8125,0.8966,0.8548
XGBoost,2,0.891,0.8283,0.7917,0.8686,0.8306
XGBoost,3,0.9032,0.832,0.7989,0.8678,0.8356
XGBoost,4,0.9152,0.8508,0.8191,0.8851,0.8544
XGBoost,5,0.9094,0.8338,0.8177,0.8506,0.841
EBM GlassBox,1,0.8987,0.8462,0.8105,0.8851,0.8495
EBM GlassBox,2,0.8758,0.8144,0.7903,0.84,0.8199
EBM GlassBox,3,0.9074,0.8492,0.8261,0.8736,0.8544
EBM GlassBox,4,0.8928,0.8182,0.809,0.8276,0.8275
EBM GlassBox,5,0.9043,0.8427,0.8242,0.8621,0.8491
